Category,count,mean,std,min,median,max
ACCOUNTANT,40,64.1,9.1,50,62.5,84
ADVOCATE,40,72.9,11.6,55,70.0,91
AVIATION,40,72.8,11.4,61,75.0,91
BANKING,40,74.2,12.4,55,74.0,91
BUSINESS-DEVELOPMENT,40,74.0,10.7,56,75.5,93
CONSTRUCTION,40,77.5,10.3,62,77.0,92
CONSULTANT,40,76.6,11.8,62,76.5,97
DESIGNER,40,66.6,11.9,51,65.0,87
DIGITAL-MEDIA,40,75.2,10.7,57,76.5,96
ENGINEERING,40,71.8,11.6,51,73.0,91
FINANCE,40,72.3,9.4,57,74.5,89
HEALTHCARE,40,72.0,11.1,55,73.5,92
HR,40,74.0,11.2,56,73.5,91
INFORMATION-TECHNOLOGY,40,65.0,10.1,49,67.0,82
SALES,40,72.7,10.5,55,72.0,86
TEACHER,40,76.2,10.8,58,77.5,94
